"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPause()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostResume()>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockListActivity: void onPostCreate(android.os.Bundle)>",""
"com.asksven.betterwifionoff_43","<java.net.URL: java.io.InputStream openStream()>","<com.actionbarsherlock.app.SherlockPreferenceActivity: void onRestoreInstanceState(android.os.Bundle)>",""
